Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Michael Thomas (14061014),Michael Thomas,14061014,WR/FLEX,9300,MIN@NO 01/05/2020 01:05PM ET,NO,25.29
RB,Derrick Henry (14060942),Derrick Henry,14060942,RB/FLEX,8200,TEN@NE 01/04/2020 08:15PM ET,TEN,21.04
RB,Dalvin Cook (14060944),Dalvin Cook,14060944,RB/FLEX,7800,MIN@NO 01/05/2020 01:05PM ET,MIN,22.1
WR,DeAndre Hopkins (14061016),DeAndre Hopkins,14061016,WR/FLEX,7700,BUF@HOU 01/04/2020 04:35PM ET,HOU,18.97
RB,Alvin Kamara (14060946),Alvin Kamara,14060946,RB/FLEX,7400,MIN@NO 01/05/2020 01:05PM ET,NO,17.82
WR,A.J. Brown (14061018),A.J. Brown,14061018,WR/FLEX,7400,TEN@NE 01/04/2020 08:15PM ET,TEN,14.51
WR,Tyler Lockett (14061020),Tyler Lockett,14061020,WR/FLEX,7200,SEA@PHI 01/05/2020 04:40PM ET,SEA,15.45
QB,Russell Wilson (14060923),Russell Wilson,14060923,QB,6800,SEA@PHI 01/05/2020 04:40PM ET,SEA,21.54
QB,Drew Brees (14060924),Drew Brees,14060924,QB,6600,MIN@NO 01/05/2020 01:05PM ET,NO,22.16
WR,Stefon Diggs (14061022),Stefon Diggs,14061022,WR/FLEX,6600,MIN@NO 01/05/2020 01:05PM ET,MIN,15.34
QB,Josh Allen (14060925),Josh Allen,14060925,QB,6500,BUF@HOU 01/04/2020 04:35PM ET,BUF,18.85
WR,Julian Edelman (14061024),Julian Edelman,14061024,WR/FLEX,6500,TEN@NE 01/04/2020 08:15PM ET,NE,16.64
QB,Deshaun Watson (14060926),Deshaun Watson,14060926,QB,6400,BUF@HOU 01/04/2020 04:35PM ET,HOU,23.00
QB,Ryan Tannehill (14060927),Ryan Tannehill,14060927,QB,6300,TEN@NE 01/04/2020 08:15PM ET,TEN,20.18
WR,Adam Thielen (14061026),Adam Thielen,14061026,WR/FLEX,6200,MIN@NO 01/05/2020 01:05PM ET,MIN,11.74
QB,Carson Wentz (14060928),Carson Wentz,14060928,QB,6200,SEA@PHI 01/05/2020 04:40PM ET,PHI,19.05
RB,Miles Sanders (14060948),Miles Sanders,14060948,RB/FLEX,6200,SEA@PHI 01/05/2020 04:40PM ET,PHI,13.92
QB,Kirk Cousins (14060929),Kirk Cousins,14060929,QB,6100,MIN@NO 01/05/2020 01:05PM ET,MIN,17.70
WR,DK Metcalf (14061028),DK Metcalf,14061028,WR/FLEX,6100,SEA@PHI 01/05/2020 04:40PM ET,SEA,12.07
RB,Devin Singletary (14060950),Devin Singletary,14060950,RB/FLEX,6000,BUF@HOU 01/04/2020 04:35PM ET,BUF,12.66
WR,John Brown (14061030),John Brown,14061030,WR/FLEX,6000,BUF@HOU 01/04/2020 04:35PM ET,BUF,15.06
TE,Zach Ertz (14061114),Zach Ertz,14061114,TE/FLEX,6000,SEA@PHI 01/05/2020 04:40PM ET,PHI,14.64
RB,Boston Scott (14060952),Boston Scott,14060952,RB/FLEX,5800,SEA@PHI 01/05/2020 04:40PM ET,PHI,8.9
QB,Tom Brady (14060930),Tom Brady,14060930,QB,5800,TEN@NE 01/04/2020 08:15PM ET,NE,17.98
RB,James White (14060954),James White,14060954,RB/FLEX,5700,TEN@NE 01/04/2020 08:15PM ET,NE,13.41
WR,Cole Beasley (14061032),Cole Beasley,14061032,WR/FLEX,5600,BUF@HOU 01/04/2020 04:35PM ET,BUF,12.72
RB,Travis Homer (14060956),Travis Homer,14060956,RB/FLEX,5300,SEA@PHI 01/05/2020 04:40PM ET,SEA,1.75
RB,Marshawn Lynch (14060958),Marshawn Lynch,14060958,RB/FLEX,5200,SEA@PHI 01/05/2020 04:40PM ET,SEA,9.4
WR,Greg Ward (14061034),Greg Ward,14061034,WR/FLEX,5200,SEA@PHI 01/05/2020 04:40PM ET,PHI,8.56
TE,Dallas Goedert (14061116),Dallas Goedert,14061116,TE/FLEX,5200,SEA@PHI 01/05/2020 04:40PM ET,PHI,9.78
RB,Carlos Hyde (14060960),Carlos Hyde,14060960,RB/FLEX,5100,BUF@HOU 01/04/2020 04:35PM ET,HOU,10.26
RB,Latavius Murray (14060962),Latavius Murray,14060962,RB/FLEX,5000,MIN@NO 01/05/2020 01:05PM ET,NO,10.2
WR,Will Fuller V (14061036),Will Fuller V,14061036,WR/FLEX,4900,BUF@HOU 01/04/2020 04:35PM ET,HOU,12.73
TE,Jared Cook (14061118),Jared Cook,14061118,TE/FLEX,4900,MIN@NO 01/05/2020 01:05PM ET,NO,11.96
RB,Jordan Howard (14060964),Jordan Howard,14060964,RB/FLEX,4900,SEA@PHI 01/05/2020 04:40PM ET,PHI,11.14
QB,AJ McCarron (14060931),AJ McCarron,14060931,QB,4800,BUF@HOU 01/04/2020 04:35PM ET,HOU,8.95
RB,Alexander Mattison (14060966),Alexander Mattison,14060966,RB/FLEX,4800,MIN@NO 01/05/2020 01:05PM ET,MIN,5.34
